transaction_id,merchant_id,customer_id,amount,currency,payment_method,status,timestamp,device_type,location
TID000001,MID0039,bdd640fb-0667-4ad1-9c80-317fa3b1799d,842.15,INR,Debit Card,Success,5/27/2025 15:09,POS,Chennai
TID000002,MID0029,23b8c1e9-3924-46de-beb1-3b9046685257,2024.23,INR,Net Banking,Success,8/1/2025 17:51,Desktop,Pune
TID000003,MID0015,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,2981.36,USD,UPI,Failed,6/5/2025 14:13,POS,Mumbai
TID000004,MID0043,972a8469-1641-4f82-8b9d-2434e465e150,1138.58,INR,Debit Card,Success,6/23/2025 16:02,Mobile,Mumbai
TID000005,MID0008,17fc695a-07a0-4a6e-8822-e8f36c031199,2336.92,INR,Credit Card,Success,7/19/2025 6:48,Mobile,Pune
TID000006,MID0021,9a1de644-815e-46d1-bb8f-aa1837f8a88b,528.14,INR,UPI,Success,7/5/2025 19:14,POS,Chennai
TID000007,MID0039,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,1169.27,INR,Net Banking,Success,7/13/2025 22:34,Mobile,Delhi
TID000008,MID0019,6b65a6a4-8b81-48f6-b38a-088ca65ed389,635.21,INR,Wallet,Success,2/14/2025 0:12,Mobile,Hyderabad
TID000009,MID0023,47378190-96da-4dac-b2ff-5d2a386ecbe0,802.17,INR,Credit Card,Success,4/15/2025 7:09,Mobile,Bengaluru
TID000010,MID0011,c241330b-01a9-471f-9e8a-774bcf36d58b,1977.47,INR,Credit Card,Success,2/20/2025 21:11,Mobile,Mumbai
TID000011,MID0011,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,3201.32,INR,Credit Card,Success,4/28/2025 23:13,Mobile,Bengaluru
TID000012,MID0024,371ecd7b-27cd-4130-8722-9389571aa876,194.3,USD,Credit Card,Success,6/3/2025 6:58,Mobile,Chennai
TID000013,MID0036,1a2a73ed-562b-4f79-8374-59eef50bea63,1510.31,INR,UPI,Success,6/30/2025 16:44,Mobile,Delhi
TID000014,MID0040,5be6128e-18c2-4797-a142-ea7d17be3111,1308.93,INR,Net Banking,Success,6/6/2025 1:32,Mobile,Kolkata
TID000015,MID0024,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,189.05,INR,Debit Card,Success,8/6/2025 14:33,POS,Hyderabad
TID000016,MID0003,759cde66-bacf-43d0-8b1f-9163ce9ff57f,357.18,INR,UPI,Success,2/22/2025 18:59,Desktop,Hyderabad
TID000017,MID0022,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,558.78,INR,Net Banking,Success,7/29/2025 11:32,Mobile,Delhi
TID000018,MID0002,4b0dbb41-8d52-48f1-942c-3fe860e7a113,273.96,INR,Debit Card,Success,5/25/2025 5:13,POS,Chennai
TID000019,MID0024,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,419.03,INR,Credit Card,Success,5/11/2025 2:38,Mobile,Delhi
TID000020,MID0044,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,467.14,INR,Net Banking,Success,3/4/2025 6:45,Desktop,Hyderabad
TID000021,MID0030,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,613.47,INR,Credit Card,Success,3/31/2025 16:03,Mobile,Kolkata
TID000022,MID0038,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2075.79,INR,Net Banking,Success,6/27/2025 14:21,POS,Mumbai
TID000023,MID0002,ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,1272.64,INR,Wallet,Refunded,2/15/2025 5:55,POS,Delhi
TID000024,MID0021,7412b293-4729-4739-a14f-f3d719db3ad0,6429.71,INR,Credit Card,Success,2/27/2025 8:21,Desktop,Pune
TID000025,MID0033,29a3b2e9-5d65-4441-9588-42dea2bc372f,803.54,INR,Credit Card,Success,2/14/2025 1:18,Mobile,Pune
TID000026,MID0012,ab9099a4-35a2-40ae-9af3-05535ec42e08,2102.81,INR,Credit Card,Success,5/14/2025 13:42,POS,Chennai
TID000027,MID0022,aefcfad8-efc8-4849-b3aa-7efe4458a885,3077.37,INR,UPI,Success,5/16/2025 17:00,Desktop,Hyderabad
TID000028,MID0044,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,1704.37,INR,Debit Card,Success,3/22/2025 21:07,Desktop,Hyderabad
TID000029,MID0025,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,796.2,INR,Credit Card,Success,6/13/2025 10:11,Mobile,Delhi
TID000030,MID0049,451b4cf3-6123-4df7-b656-af7229d4beef,2101.17,INR,Credit Card,Success,4/16/2025 3:43,POS,Kolkata
TID000031,MID0027,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,341.61,INR,UPI,Success,5/1/2025 22:24,Mobile,Chennai
TID000032,MID0042,5304317f-af42-412f-b838-b3268e944239,595.25,INR,UPI,Failed,5/10/2025 21:08,Mobile,Delhi
TID000033,MID0028,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,1186.75,INR,Wallet,Success,4/7/2025 1:26,Mobile,Chennai
TID000034,MID0016,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,1284.94,INR,Net Banking,Success,7/8/2025 21:39,POS,Pune
TID000035,MID0015,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,33.59,INR,Credit Card,Success,7/22/2025 3:54,Desktop,Kolkata
TID000036,MID0047,9132b63e-f162-47e4-a9c3-49e03602f8ac,4353.75,INR,Net Banking,Success,7/27/2025 7:57,Mobile,Mumbai
TID000037,MID0044,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,1789.19,INR,UPI,Success,3/23/2025 8:49,Mobile,Kolkata
TID000038,MID0003,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1026.89,INR,UPI,Success,2/11/2025 7:20,POS,Mumbai
